game_date,game_id,player,team,opp,is_home,market_type,stat,threshold,yes_ask,model_prob,pred_stat,lineup_adj,edge,direction,kelly,rest_days,opp_def_l10,game_in_series,ticker,run_date
2026-05-06,26MAY04PHINYK,Josh Hart,NYK,PHI,1,COMBO,DD,0.0,0.01,0.159,10p/7r/3a,0.0,0.149,YES,0.0751,2.0,105.9,2,KXNBA2D-26MAY04PHINYK-NYKJHART3,2026-05-06
2026-05-06,26APR30DENMIN,Nikola Jokić,DEN,MIN,0,COMBO,TD,0.0,0.01,0.157,24p/11r/8a,0.0,0.147,YES,0.0743,6.0,113.9,7,KXNBA3D-26APR30DENMIN-DENNJOKIC15,2026-05-06
2026-05-06,26APR23DENMIN,Nikola Jokić,DEN,MIN,0,COMBO,TD,0.0,0.01,0.157,24p/11r/8a,0.0,0.147,YES,0.0743,6.0,113.9,7,KXNBA3D-26APR23DENMIN-DENNJOKIC15,2026-05-06
2026-05-06,26APR20MINDEN,Nikola Jokić,DEN,MIN,1,COMBO,TD,0.0,0.01,0.157,24p/11r/8a,0.0,0.147,YES,0.0743,6.0,113.9,7,KXNBA3D-26APR20MINDEN-DENNJOKIC15,2026-05-06
2026-05-06,26APR30DENMIN,Jamal Murray,DEN,MIN,0,COMBO,DD,0.0,0.01,0.156,20p/4r/5a,0.0,0.146,YES,0.074,6.0,113.9,7,KXNBA2D-26APR30DENMIN-DENJMURRAY27,2026-05-06
2026-05-06,LALOKC,Deandre Ayton,LAL,OKC,0,PROP,REB,8.5,0.496,0.354,5.7,-0.98,0.142,NO,0.1435,1.0,108.8,2,REB-LALOKC-Deandre Ayton-8.5,2026-05-06
2026-05-06,26MAY04MINSAS,De'Aaron Fox,SAS,MIN,1,COMBO,DD,0.0,0.01,0.15,18p/4r/5a,0.0,0.14,YES,0.0709,2.0,113.9,2,KXNBA2D-26MAY04MINSAS-SASDFOX4,2026-05-06
2026-05-06,26MAY07LALOKC,Deandre Ayton,LAL,OKC,0,COMBO,DD,0.0,0.26,0.121,9p/7r/1a,0.0,0.139,NO,0.25,1.0,108.8,2,KXNBA2D-26MAY07LALOKC-LALDAYTON5,2026-05-06
2026-05-06,LALOKC,Luguentz Dort,OKC,LAL,1,PROP,REB,2.5,0.6007,0.464,1.0,-1.1,0.137,NO,0.1137,1.0,99.8,2,REB-LALOKC-Luguentz Dort-2.5,2026-05-06
2026-05-06,26APR12SACPOR,Deni Avdija,POR,SAC,1,COMBO,TD,0.0,0.15,0.014,21p/6r/5a,0.0,0.136,NO,0.25,8.0,121.0,6,KXNBA3D-26APR12SACPOR-PORDAVDIJA8,2026-05-06
2026-05-06,26APR24LALHOU,Alperen Sengun,HOU,LAL,1,COMBO,TD,0.0,0.15,0.015,20p/9r/4a,0.0,0.135,NO,0.25,5.0,99.8,7,KXNBA3D-26APR24LALHOU-HOUASENGUN28,2026-05-06
2026-05-06,26MAY03TORCLE,RJ Barrett,TOR,CLE,0,COMBO,DD,0.0,0.01,0.142,21p/5r/3a,0.0,0.132,YES,0.0668,3.0,112.8,8,KXNBA2D-26MAY03TORCLE-TORRBARRETT9,2026-05-06
2026-05-06,PHINYK,Mikal Bridges,NYK,PHI,1,PROP,PTS,11.5,0.5227,0.391,6.5,-1.8,0.132,NO,0.1259,2.0,105.9,2,PTS-PHINYK-Mikal Bridges-11.5,2026-05-06
2026-05-06,26APR29ORLDET,Cade Cunningham,DET,ORL,1,COMBO,DD,0.0,0.3,0.431,23p/4r/9a,0.0,0.131,YES,0.0936,1.0,104.4,2,KXNBA2D-26APR29ORLDET-DETCCUNNINGHAM2,2026-05-06
